time,CO2_ppm,CO2_2_ppm,O2_percent,temperature_C,OD_Trx_V,OD_Sct_V
340.005494594574,5470.0,7340.0,20.8,36.187,3.695267857142857,0.17173214285714286
345.00557565689087,5430.0,7350.0,20.8,36.187,3.6745982142857145,0.17065178571428571
350.0056540966034,5400.0,7330.0,20.8,36.187,3.6831250000000004,0.1733303571428571
355.00572967529297,5350.0,7290.0,20.8,36.25,3.7010178571428574,0.18151785714285715
360.00580978393555,5300.0,7240.0,20.8,36.25,3.645473214285715,0.17454464285714288
365.0058870315552,5260.0,7170.0,20.86,36.25,3.6962767857142858,0.17982142857142858
370.00595903396606,5250.0,7120.0,20.88,36.187,3.6903125,0.17215178571428572
375.0060360431671,5250.0,6980.0,20.86,36.25,3.6939553571428574,0.1776607142857143
380.006112575531,5250.0,6910.0,20.81,36.25,3.6808660714285724,0.1742857142857143
385.00619769096375,5230.0,6860.0,20.8,36.25,3.6857499999999996,0.17839285714285716
390.0062725543976,5210.0,6850.0,20.8,36.25,3.708142857142857,0.17682142857142855
395.00634717941284,5180.0,6880.0,20.8,36.25,3.712660714285714,0.17326785714285714
400.00642108917236,5160.0,6890.0,20.8,36.25,3.7067142857142854,0.1730267857142857
405.00650453567505,5120.0,6900.0,20.8,36.25,3.694339285714286,0.17426785714285714
410.0065813064575,5050.0,6890.0,20.8,36.25,3.7035446428571426,0.1725982142857143
415.00665760040283,5000.0,6880.0,20.8,36.25,3.6864821428571433,0.17557142857142857
420.0067296028137,4950.0,6830.0,20.8,36.25,3.697901785714286,0.17668749999999997
425.00681257247925,4910.0,6700.0,20.87,36.25,3.732026785714286,0.20431250000000004
430.00688767433167,4910.0,6630.0,20.87,36.312,3.7017946428571427,0.17058928571428572
435.00696992874146,4910.0,6520.0,20.87,36.312,3.7111339285714284,0.16905357142857144
440.0070495605469,4910.0,6460.0,20.84,36.312,3.689714285714287,0.17066071428571425
445.0071270465851,4900.0,6430.0,20.82,36.312,3.7039732142857145,0.17081249999999998
450.0072076320648,4880.0,6420.0,20.82,36.312,3.712946428571428,0.17536607142857144
455.00732016563416,4850.0,6420.0,20.81,36.375,3.685455357142857,0.17233928571428567
460.00738883018494,4830.0,6450.0,20.81,36.375,3.6954285714285713,0.1749910714285714
465.0074677467346,4800.0,6500.0,20.81,36.375,3.6801696428571424,0.1678035714285714
470.00755047798157,4770.0,6480.0,20.81,36.375,3.701008928571429,0.1695178571428571
475.0076644420624,4740.0,6480.0,20.81,36.375,3.717571428571429,0.17319642857142856
480.0077335834503,4710.0,6470.0,20.81,36.437,3.705330357142858,0.1741160714285714
485.00781202316284,4680.0,6440.0,20.88,36.437,3.705017857142857,0.17511607142857147
490.0078868865967,4660.0,6390.0,20.88,36.437,3.711732142857143,0.17283035714285713
495.0079667568207,4660.0,6370.0,20.88,36.437,3.7113839285714283,0.18112499999999998
500.00805020332336,4660.0,6340.0,20.86,36.437,3.6902410714285723,0.17435714285714288
505.0081341266632,4660.0,6310.0,20.82,36.437,3.7208269230769226,0.16747115384615385
510.0082128047943,4640.0,6270.0,20.83,36.437,3.7036339285714286,0.17080357142857142
515.0083112716675,4620.0,6240.0,20.83,36.437,3.6882410714285716,0.17525
520.0083856582642,4590.0,6210.0,20.81,36.437,3.6486428571428577,0.17520535714285712
525.0084712505341,4580.0,6190.0,20.82,36.437,3.704223214285714,0.17291964285714287
530.0085496902466,4540.0,6180.0,20.81,36.437,3.7097142857142864,0.17236607142857138
535.0086450576782,4520.0,6150.0,20.81,36.437,3.7117053571428573,0.16947321428571427
540.0087213516235,4470.0,6120.0,20.82,36.437,3.6653928571428565,0.16783035714285713
545.0088052749634,4420.0,6060.0,20.88,36.437,3.709008928571429,0.17106250000000006
550.0088839530945,4400.0,6040.0,20.88,36.437,3.7004553571428573,0.1725357142857143
555.0089645385742,4410.0,6010.0,20.87,36.437,3.707892857142857,0.1735892857142857
560.0090460777283,4410.0,5930.0,20.86,36.437,3.6505714285714292,0.1729196428571429
