time,elapsed_time,temperature_C,OD_135_V,OD_Ref_V,OD_90_V,O2_percent
2026-01-28 16:08:24,500.00177216529846,24.875,0.06925892857142858,0.8468392857142858,0.07234821428571428,20.95
2026-01-28 16:08:44,520.0018444061279,24.875,0.07045535714285714,0.8308035714285714,0.07525000000000001,20.95
2026-01-28 16:09:04,540.0019073486328,24.875,0.07072321428571429,0.8307142857142857,0.07311607142857143,20.95
2026-01-28 16:09:24,560.0019805431366,24.937,0.07042857142857142,0.8105,0.0741875,20.95
2026-01-28 16:09:44,580.0020442008972,24.875,0.06999107142857143,0.8675803571428571,0.07295535714285714,20.95
2026-01-28 16:10:04,600.0021164417267,24.875,0.07105357142857142,0.8901607142857143,0.07525000000000001,20.95
2026-01-28 16:10:24,620.0021822452545,24.875,0.07079464285714286,0.8287857142857142,0.07258928571428572,20.95
2026-01-28 16:10:44,640.0022766590118,24.875,0.06991964285714286,0.831669642857143,0.07816071428571428,20.95
2026-01-28 16:11:04,660.0023503303528,24.937,0.06998214285714285,0.8683303571428571,0.07316964285714286,20.95
2026-01-28 16:11:24,680.0024199485779,24.875,0.0691875,0.8410178571428572,0.07360714285714286,20.95
2026-01-28 16:11:44,700.0024950504303,24.937,0.07339285714285715,0.8250267857142858,0.0729375,20.95
2026-01-28 16:12:04,720.0025923252106,24.875,0.0713125,0.8462500000000001,0.07425000000000001,20.95
2026-01-28 16:12:24,740.0026597976685,24.875,0.07071428571428572,0.8605982142857143,0.07529464285714285,20.95
2026-01-28 16:12:44,760.002730846405,24.875,0.0722142857142857,0.8449642857142857,0.07796428571428572,20.95
2026-01-28 16:13:04,780.0028033256531,24.937,0.07235714285714286,0.8376428571428571,0.0762232142857143,20.96
2026-01-28 16:13:24,800.0028715133667,24.937,0.0703125,0.8891249999999999,0.07144642857142858,20.95
2026-01-28 16:13:44,820.0029437541962,24.937,0.06984821428571429,0.859375,0.07321428571428572,20.95
2026-01-28 16:14:04,840.0029792785645,24.937,0.06979464285714286,0.8575625,0.07173214285714287,20.95
2026-01-28 16:14:24,860.0030496120453,24.937,0.07344642857142857,0.8824375,0.0732142857142857,20.95
2026-01-28 16:14:44,880.0031476020813,24.937,0.07319642857142858,0.8527410714285715,0.08027678571428572,20.95
2026-01-28 16:15:05,900.0045578479767,24.937,0.07152678571428571,0.8422053571428572,0.07751785714285715,20.96
2026-01-28 16:15:24,920.0046260356903,24.875,0.07134821428571428,0.8136071428571429,0.07699107142857142,20.97
2026-01-28 16:15:44,940.004964351654,24.937,0.07185714285714286,0.8805714285714286,0.07275,20.96
2026-01-28 16:16:04,960.0050358772278,24.937,0.07174107142857143,0.8372857142857143,0.07764285714285714,20.96
2026-01-28 16:16:24,980.0051171779633,24.937,0.07129464285714285,0.8314285714285715,0.07648214285714286,20.96
2026-01-28 16:16:44,1000.0051808357239,24.937,0.07204464285714285,0.8248571428571428,0.0722232142857143,20.97
2026-01-28 16:17:04,1020.0052568912506,24.937,0.07088392857142857,0.8341607142857143,0.07534821428571428,20.97
2026-01-28 16:17:24,1040.0053219795227,24.937,0.07352678571428571,0.8853035714285714,0.07617857142857143,20.96
2026-01-28 16:17:44,1060.005387544632,24.937,0.07105357142857142,0.8121696428571429,0.07472321428571428,20.96
2026-01-28 16:18:04,1080.0054562091827,24.937,0.07184821428571429,0.8339375,0.07378571428571427,20.96
2026-01-28 16:18:24,1100.005520105362,24.937,0.07279464285714286,0.8585267857142858,0.07625892857142857,20.97
2026-01-28 16:18:44,1120.00559091568,25.0,0.0721875,0.8369910714285714,0.07932142857142857,20.97
